"X4_colonias_id","X1_Sent2.B01","X1_Sent2.B02","X1_Sent2.B03","X1_Sent2.B04","X2_Srtm.DEM","X3_TreeCover","X4_alcaldias_id","latitud","longitud","temperatura","direcc_vient","humedad"
538,486.833333333333,577.25,759,1002.08333333333,2240.35034179688,0,2,19.4988848368327,-99.1766554514567,19.575,121.5,37
539,947.340425531915,1078.27659574468,1297.31914893617,1475.63829787234,2242.44303731715,0,2,19.5034427237003,-99.1744602284533,19.5916666666667,129.444444444444,37
540,589.25,751,962.75,1179.25,2232.48376464844,0,7,19.4822177886963,-99.092529296875,19.0666666666667,120.916666666667,40
541,677.428571428571,756.375,993.214285714286,1238.66071428571,2228.7793535505,0,15,19.4262954848153,-99.0607553209577,19.1805555555556,137.944444444444,35
542,604.318181818182,704.545454545455,896.113636363636,1061.45454545455,2313.59795032848,0.568181818181818,1,19.3501795855435,-99.2050665075129,18.2027777777778,59.9722222222222,34
543,678.151785714286,769.116071428571,967.25,1158.40178571429,2238.01351928711,0.0535714285714286,14,19.3032806430544,-99.1285619054522,19.0416666666667,102.555555555556,36
544,553.113924050633,614.623417721519,804.566455696203,953.186708860759,2264.89906562129,1.38924050632911,1,19.3572220681589,-99.1803857103179,18.4027777777778,49.8055555555556,34
545,608.25,640.25,814.75,980,2232.95227050781,0,7,19.4719200134277,-99.0876731872559,19.0833333333333,122.083333333333,40
546,633.375,704.125,894.75,1020,2233.63647460938,0,7,19.4728684425354,-99.0883884429932,19.0833333333333,122.083333333333,40
547,459.166666666667,529.5,702.416666666667,831.5,2280.50026448568,1.91666666666667,14,19.2747675577799,-99.1608581542969,18.7583333333333,66.3333333333333,34
548,784.230769230769,881.153846153846,1116.12820512821,1399.23076923077,2231.18530273438,0,7,19.4545553158491,-99.0610930613982,18.8944444444444,130.666666666667,40
549,527.925925925926,673.962962962963,825.518518518518,994.111111111111,2232.19992404514,0,8,19.4003659707529,-99.1145220156069,19.4555555555556,79.7777777777778,36
550,878.307692307692,964.692307692308,1138.69230769231,1312.15384615385,2259.6962515024,0,11,19.4473009843093,-99.2027288583609,19.8944444444444,126.388888888889,29
551,747.291666666667,872.125,1033.44444444444,1122.375,2251.10195244683,2.19444444444444,2,19.4982147746616,-99.2043334113227,19.6972222222222,120.805555555556,31
552,1001.08333333333,1110.69444444444,1298.69444444444,1451.5,2310.92695448134,0.194444444444444,1,19.3842215008206,-99.2037616305881,18.5027777777778,65.1944444444444,29
553,721.467532467532,824.012987012987,1079.35064935065,1317.33766233766,2245.0254350142,0.116883116883117,13,19.2490842497194,-99.0014424509816,17.8666666666667,135.027777777778,47
554,1094.67226890756,1110.94957983193,1337.7731092437,1544.70588235294,2240.39674492844,0,9,19.3373242065686,-99.0593279029141,19.2277777777778,148.027777777778,37
555,824.5,997.6,1231.1,1403.5,2410.73293457031,0,14,19.2781549453735,-99.190113067627,18.2527777777778,53.1111111111111,34
556,846.398601398601,988.321678321678,1165.28671328671,1323.37062937063,2292.38521976071,0,9,19.3328667087155,-99.0990280471482,19.2833333333333,120.75,36
557,502.441860465116,617.751937984496,842.193798449612,996.37984496124,2359.3423646439,1.68992248062015,14,19.2819827915162,-99.18574665868,18.2527777777778,53.1111111111111,34
558,903.75,1122,1320.25,1635.75,2244.75030517578,0,2,19.4751720428467,-99.1895980834961,19.5694444444444,121.805555555556,37
559,714.7,789.4,1019.2,1277.3,2235.55109863281,0,9,19.3694820404053,-99.0074478149414,19.2444444444444,146,35
